"Landesindex der Konsumentenpreise / Indice des prix à la consommation","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","© Bundesamt für Statistik / Office fédéral de la statistique, Espace de l'Europe 10, CH-2010 Neuchâtel"
"36647",957,697.6,308.8,183.2,146.9,106.1,100,NA,NA,NA,NA,"0","1.6"
"36678",960.6,700.2,309.9,183.8,147.4,106.5,100.4,NA,NA,NA,NA,"0.4","1.8"
"36708",961.3,700.7,310.2,184,147.6,106.6,100.4,NA,NA,NA,NA,"0.1","1.9"
"36739",958.8,698.9,309.4,183.5,147.2,106.3,100.2,NA,NA,NA,NA,"-0.3","1.1000000000000001"
"36770",963.6,702.4,310.9,184.4,147.9,106.8,100.7,NA,NA,NA,NA,"0.5","1.4"
"36800",962.6,701.7,310.6,184.2,147.7,106.7,100.6,NA,NA,NA,NA,"-0.1","1.3"
"36831",967.2,705,312,185.1,148.5,107.2,101.1,NA,NA,NA,NA,"0.5","1.9"
"36861",966.4,704.5,311.8,185,148.3,107.1,101,NA,NA,NA,NA,"-0.1","1.5"
"36892",965.8,704,311.6,184.8,148.2,107.1,100.9,NA,NA,NA,NA,"-0.1","1.3"
"36923",964.4,703,311.2,184.6,148,106.9,100.8,NA,NA,NA,NA,"-0.1","0.8"
"36951",966,704.1,311.7,184.9,148.3,107.1,100.9,NA,NA,NA,NA,"0.2","1"
"36982",968.7,706.1,312.5,185.4,148.7,107.4,101.2,NA,NA,NA,NA,"0.3","1.2"
"37012",973.9,709.9,314.2,186.4,149.5,108,101.8,NA,NA,NA,NA,"0.5","1.8"
"37043",975.8,711.3,314.8,186.7,149.8,108.2,102,NA,NA,NA,NA,"0.2","1.6"
"37073",974.3,710.2,314.3,186.5,149.5,108,101.8,NA,NA,NA,NA,"-0.2","1.4"
"37104",968.9,706.3,312.6,185.4,148.7,107.4,101.2,NA,NA,NA,NA,"-0.6","1.1000000000000001"
"37135",970.1,707.2,313,185.7,148.9,107.5,101.4,NA,NA,NA,NA,"0.1","0.7"
"37165",968.7,706.1,312.5,185.4,148.7,107.4,101.2,NA,NA,NA,NA,"-0.2","0.6"
"37196",969.9,707,312.9,185.6,148.9,107.5,101.4,NA,NA,NA,NA,"0.1","0.3"
"37226",969.6,706.8,312.8,185.6,148.8,107.5,101.3,NA,NA,NA,NA,"0","0.3"
"37257",970.8,707.6,313.2,185.8,149,107.6,101.4,NA,NA,NA,NA,"0.1","0.5"
"37288",970.8,707.6,313.2,185.8,149,107.6,101.4,NA,NA,NA,NA,"0","0.7"
"37316",970.9,707.7,313.3,185.8,149,107.6,101.5,NA,NA,NA,NA,"0","0.5"
"37347",979.3,713.8,316,187.4,150.3,108.6,102.3,NA,NA,NA,NA,"0.9","1.1000000000000001"
"37377",980.2,714.5,316.3,187.6,150.5,108.7,102.4,NA,NA,NA,NA,"0.1","0.6"
"37408",978.9,713.6,315.8,187.3,150.3,108.5,102.3,NA,NA,NA,NA,"-0.1","0.3"
"37438",973.8,709.8,314.2,186.4,149.5,107.9,101.8,NA,NA,NA,NA,"-0.5","-0.1"
"37469",973.5,709.6,314.1,186.3,149.4,107.9,101.7,NA,NA,NA,NA,"0","0.5"
"37500",974.9,710.7,314.6,186.6,149.6,108.1,101.9,NA,NA,NA,NA,"0.2","0.5"
"37530",980.6,714.8,316.4,187.7,150.5,108.7,102.5,NA,NA,NA,NA,"0.6","1.2"
"37561",978.8,713.5,315.8,187.3,150.2,108.5,102.3,NA,NA,NA,NA,"-0.2","0.9"
"37591",978.2,713.1,315.6,187.2,150.2,108.4,102.2,NA,NA,NA,NA,"-0.1","0.9"
"37622",979,713.6,315.9,187.4,150.3,108.5,102.3,NA,NA,NA,NA,"0.1","0.8"
"37653",980,714.3,316.2,187.5,150.4,108.6,102.4,NA,NA,NA,NA,"0.1","0.9"
"37681",983.9,717.2,317.5,188.3,151,109.1,102.8,NA,NA,NA,NA,"0.4","1.3"
"37712",985.9,718.6,318.1,188.7,151.3,109.3,103,NA,NA,NA,NA,"0.2","0.7"
"37742",984.3,717.5,317.6,188.4,151.1,109.1,102.8,NA,NA,NA,NA,"-0.2","0.4"
"37773",984.3,717.5,317.6,188.4,151.1,109.1,102.9,NA,NA,NA,NA,"0","0.5"
"37803",976.4,711.7,315,186.9,149.9,108.2,102,NA,NA,NA,NA,"-0.8","0.3"
"37834",978.7,713.4,315.8,187.3,150.2,108.5,102.3,NA,NA,NA,NA,"0.2","0.5"
"37865",980.1,714.4,316.2,187.6,150.4,108.6,102.4,NA,NA,NA,NA,"0.1","0.5"
"37895",985.1,718.1,317.8,188.5,151.2,109.2,102.9,NA,NA,NA,NA,"0.5","0.5"
"37926",983.8,717.2,317.4,188.3,151,109.1,102.8,NA,NA,NA,NA,"-0.1","0.5"
"37956",984,717.3,317.5,188.3,151,109.1,102.8,NA,NA,NA,NA,"0","0.6"
"37987",980.7,714.9,316.4,187.7,150.5,108.7,102.5,NA,NA,NA,NA,"-0.3","0.2"
"38018",980.9,715,316.5,187.7,150.6,108.7,102.5,NA,NA,NA,NA,"0","0.1"
"38047",983,716.5,317.1,188.1,150.9,109,102.7,NA,NA,NA,NA,"0.2","-0.1"
"38078",991.3,722.6,319.8,189.7,152.1,109.9,103.6,NA,NA,NA,NA,"0.8","0.5"
"38108",993.5,724.2,320.6,190.1,152.5,110.1,103.8,NA,NA,NA,NA,"0.2","0.9"
"38139",995.3,725.5,321.1,190.5,152.8,110.3,104,NA,NA,NA,NA,"0.2","1.1000000000000001"
"38169",984.8,717.9,317.8,188.5,151.2,109.2,102.9,NA,NA,NA,NA,"-1","0.9"
"38200",988.5,720.5,318.9,189.2,151.7,109.6,103.3,NA,NA,NA,NA,"0.4","1"
"38231",988.5,720.6,318.9,189.2,151.7,109.6,103.3,NA,NA,NA,NA,"0","0.9"
"38261",997.8,727.3,321.9,191,153.2,110.6,104.3,NA,NA,NA,NA,"0.9","1.3"
"38292",998.8,728,322.2,191.1,153.3,110.7,104.4,NA,NA,NA,NA,"0.1","1.5"
"38322",997.1,726.9,321.7,190.8,153.1,110.5,104.2,NA,NA,NA,NA,"-0.2","1.3"
"38353",992.5,723.5,320.2,189.9,152.3,110,103.7,NA,NA,NA,NA,"-0.5","1.2"
"38384",994.7,725.1,320.9,190.4,152.7,110.3,103.9,NA,NA,NA,NA,"0.2","1.4"
"38412",997.1,726.8,321.7,190.8,153.1,110.5,104.2,NA,NA,NA,NA,"0.2","1.4"
"38443",1005.3,732.8,324.3,192.4,154.3,111.4,105,NA,NA,NA,NA,"0.8","1.4"
"38473",1004.3,732.1,324,192.2,154.2,111.3,104.9,NA,NA,NA,NA,"-0.1","1.1000000000000001"
"38504",1002,730.4,323.3,191.8,153.8,111.1,104.7,NA,NA,NA,NA,"-0.2","0.7"
"38534",996.6,726.4,321.5,190.7,153,110.5,104.1,NA,NA,NA,NA,"-0.5","1.2"
"38565",998,727.5,322,191,153.2,110.6,104.3,NA,NA,NA,NA,"0.1","1"
"38596",1002.4,730.7,323.4,191.8,153.9,111.1,104.7,NA,NA,NA,NA,"0.4","1.4"
"38626",1011.1,737,326.2,193.5,155.2,112.1,105.7,NA,NA,NA,NA,"0.9","1.3"
"38657",1008.3,735,325.3,193,154.8,111.8,105.4,NA,NA,NA,NA,"-0.3","1"
"38687",1007.2,734.2,325,192.8,154.6,111.6,105.2,1900-04-09,NA,NA,NA,"-0.1","1"
"38718",1005.3,732.8,324.4,192.4,154.3,111.4,105,1900-04-08 19:12:00,NA,NA,NA,"-0.2","1.3"
"38749",1008.5,735.1,325.4,193,154.8,111.8,105.4,1900-04-09 02:24:00,NA,NA,NA,"0.3","1.4"
"38777",1007.4,734.3,325,192.8,154.6,111.7,105.3,1900-04-09,NA,NA,NA,"-0.1","1"
"38808",1015.9,740.6,327.8,194.4,155.9,112.6,106.2,1900-04-09 21:36:00,NA,NA,NA,"0.8","1.1000000000000001"
"38838",1018,742,328.4,194.8,156.3,112.8,106.4,1900-04-10 02:24:00,NA,NA,NA,"0.2","1.4"
"38869",1017.7,741.8,328.3,194.8,156.2,112.8,106.3,1900-04-10,NA,NA,NA,"0","1.6"
"38899",1010.8,736.8,326.1,193.4,155.1,112,105.6,1900-04-09 09:36:00,NA,NA,NA,"-0.7","1.4"
"38930",1012.5,738,326.7,193.8,155.4,112.2,105.8,1900-04-09 12:00:00,NA,NA,NA,"0.2","1.5"
"38961",1010.3,736.5,326,193.4,155.1,112,105.6,1900-04-09 07:12:00,NA,NA,NA,"-0.2","0.8"
"38991",1013.7,738.9,327.1,194,155.6,112.4,105.9,1900-04-09 16:48:00,NA,NA,NA,"0.3","0.3"
"39022",1013.3,738.6,326.9,193.9,155.5,112.3,105.9,1900-04-09 14:24:00,NA,NA,NA,"0","0.5"
"39052",1013.4,738.7,327,193.9,155.6,112.3,105.9,1900-04-09 14:24:00,NA,NA,NA,"0","0.6"
"39083",1006.4,733.6,324.7,192.6,154.5,111.6,105.2,1900-04-08 21:36:00,NA,NA,NA,"-0.7","0.1"
"39114",1008.3,735,325.3,193,154.8,111.8,105.4,1900-04-09 02:24:00,NA,NA,NA,"0.2","0"
"39142",1009.1,735.6,325.6,193.1,154.9,111.9,105.4,1900-04-09 04:48:00,NA,NA,NA,"0.1","0.2"
"39173",1020.6,743.9,329.3,195.3,156.6,113.1,106.6,1900-04-10 07:12:00,NA,NA,NA,"1.1000000000000001","0.5"
"39203",1022.9,745.7,330,195.8,157,113.4,106.9,1900-04-10 14:24:00,NA,NA,NA,"0.2","0.5"
"39234",1024.1,746.5,330.4,196,157.2,113.5,107,1900-04-10 16:48:00,NA,NA,NA,"0.1","0.6"
"39264",1018,742.1,328.5,194.8,156.3,112.8,106.4,1900-04-10 02:24:00,NA,NA,NA,"-0.6","0.7"
"39295",1016.9,741.2,328.1,194.6,156.1,112.7,106.3,1900-04-10,NA,NA,NA,"-0.1","0.4"
"39326",1017.9,742,328.4,194.8,156.2,112.8,106.4,1900-04-10 02:24:00,NA,NA,NA,"0.1","0.7"
"39356",1026.6,748.3,331.2,196.5,157.6,113.8,107.3,1900-04-10 21:36:00,NA,NA,NA,"0.9","1.3"
"39387",1031.2,751.7,332.7,197.4,158.3,114.3,107.8,1900-04-11 09:36:00,NA,NA,NA,"0.5","1.8"
"39417",1033.7,753.5,333.5,197.8,158.7,114.6,108,1900-04-11 14:24:00,NA,NA,NA,"0.2","2"
"39448",1030.8,751.4,332.6,197.3,158.2,114.3,107.7,1900-04-11 07:12:00,NA,NA,NA,"-0.3","2.4"
"39479",1032.2,752.4,333,197.5,158.4,114.4,107.9,1900-04-11 12:00:00,NA,NA,NA,"0.1","2.4"
"39508",1035.7,754.9,334.2,198.2,159,114.8,108.2,1900-04-11 19:12:00,NA,NA,NA,"0.3","2.6"
"39539",1043.9,760.9,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,NA,NA,NA,"0.8","2.2999999999999998"
"39569",1052.1,766.9,339.5,201.4,161.5,116.6,109.9,1900-04-13 12:00:00,NA,NA,NA,"0.8","2.9"
"39600",1053.9,768.2,340,201.7,161.8,116.8,110.1,1900-04-13 14:24:00,NA,NA,NA,"0.2","2.9"
"39630",1049.3,764.9,338.6,200.8,161.1,116.3,109.6,1900-04-13 04:48:00,NA,NA,NA,"-0.4","3.1"
"39661",1046.6,762.9,337.7,200.3,160.6,116,109.4,1900-04-12 21:36:00,NA,NA,NA,"-0.3","2.9"
"39692",1047.7,763.7,338,200.5,160.8,116.1,109.5,1900-04-13,NA,NA,NA,"0.1","2.9"
"39722",1053.2,767.7,339.8,201.6,161.7,116.7,110.1,1900-04-13 14:24:00,NA,NA,NA,"0.5","2.6"
"39753",1046.2,762.6,337.5,200.2,160.6,116,109.3,1900-04-12 21:36:00,NA,NA,NA,"-0.7","1.5"
"39783",1041,758.8,335.9,199.2,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"-0.5","0.7"
"39814",1032.2,752.4,333,197.5,158.4,114.4,107.9,1900-04-11 12:00:00,NA,NA,NA,"-0.8","0.1"
"39845",1034.6,754.2,333.8,198,158.8,114.7,108.1,1900-04-11 16:48:00,NA,NA,NA,"0.2","0.2"
"39873",1031.3,751.7,332.7,197.4,158.3,114.3,107.8,1900-04-11 09:36:00,NA,NA,NA,"-0.3","-0.4"
"39904",1040.4,758.4,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,NA,NA,NA,"0.9","-0.3"
"39934",1042,759.6,336.2,199.4,159.9,115.5,108.9,1900-04-12 12:00:00,NA,NA,NA,"0.2","-1"
"39965",1043.9,760.9,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,NA,NA,NA,"0.2","-1"
"39995",1037,755.9,334.6,198.5,159.2,114.9,108.4,1900-04-12,NA,NA,NA,"-0.7","-1.2"
"40026",1038.1,756.7,334.9,198.7,159.3,115.1,108.5,1900-04-12 02:24:00,NA,NA,NA,"0.1","-0.8"
"40057",1038,756.6,334.9,198.6,159.3,115.1,108.5,1900-04-12 02:24:00,NA,NA,NA,"0","-0.9"
"40087",1044.4,761.3,337,199.9,160.3,115.8,109.1,1900-04-12 16:48:00,NA,NA,NA,"0.6","-0.8"
"40118",1046.5,762.8,337.6,200.3,160.6,116,109.3,1900-04-12 21:36:00,NA,NA,NA,"0.2","0"
"40148",1043.9,761,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,NA,NA,NA,"-0.2","0.3"
"40179",1042.8,760.1,336.4,199.6,160.1,115.6,109,1900-04-12 12:00:00,NA,NA,NA,"-0.1","1"
"40210",1044.3,761.2,336.9,199.9,160.3,115.8,109.1,1900-04-12 16:48:00,NA,NA,NA,"0.1","0.9"
"40238",1045.7,762.3,337.4,200.1,160.5,115.9,109.3,1900-04-12 19:12:00,NA,NA,NA,"0.1","1.4"
"40269",1054.7,768.8,340.3,201.8,161.9,116.9,110.2,1900-04-13 16:48:00,NA,NA,NA,"0.9","1.4"
"40299",1053.6,768,339.9,201.6,161.7,116.8,110.1,1900-04-13 14:24:00,NA,NA,NA,"-0.1","1.1000000000000001"
"40330",1049,764.6,338.4,200.8,161,116.3,109.6,1900-04-13 04:48:00,NA,NA,NA,"-0.4","0.5"
"40360",1041.3,759.1,336,199.3,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"-0.7","0.4"
"40391",1041.2,758.9,335.9,199.3,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"0","0.3"
"40422",1040.9,758.8,335.8,199.2,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"0","0.3"
"40452",1046.5,762.8,337.6,200.3,160.6,116,109.3,1900-04-12 21:36:00,NA,NA,NA,"0.5","0.2"
"40483",1049,764.6,338.4,200.8,161,116.3,109.6,1900-04-13 04:48:00,NA,NA,NA,"0.2","0.2"
"40513",1049.4,764.9,338.6,200.8,161.1,116.3,109.6,1900-04-13 04:48:00,1900-04-09,NA,NA,"0","0.5"
"40544",1045.7,762.2,337.4,200.1,160.5,115.9,109.3,1900-04-12 19:12:00,1900-04-08 14:24:00,NA,NA,"-0.4","0.3"
"40575",1049.6,765.1,338.6,200.9,161.1,116.3,109.7,1900-04-13 04:48:00,1900-04-09,NA,NA,"0.4","0.5"
"40603",1056.2,769.9,340.8,202.1,162.1,117.1,110.4,1900-04-13 21:36:00,1900-04-09 16:48:00,NA,NA,"0.6","1"
"40634",1057.4,770.8,341.2,202.4,162.3,117.2,110.5,1900-04-14,1900-04-09 19:12:00,NA,NA,"0.1","0.3"
"40664",1057.5,770.8,341.2,202.4,162.3,117.2,110.5,1900-04-14,1900-04-09 19:12:00,NA,NA,"0","0.4"
"40695",1054.9,769,340.4,201.9,161.9,116.9,110.2,1900-04-13 16:48:00,1900-04-09 12:00:00,NA,NA,"-0.2","0.6"
"40725",1046.2,762.6,337.6,200.2,160.6,116,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,NA,NA,"-0.8","0.5"
"40756",1043.2,760.4,336.6,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"-0.3","0.2"
"40787",1046,762.5,337.5,200.2,160.6,115.9,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,NA,NA,"0.3","0.5"
"40817",1045.3,761.9,337.3,200,160.4,115.9,109.2,1900-04-12 19:12:00,1900-04-08 14:24:00,NA,NA,"-0.1","-0.1"
"40848",1043.5,760.6,336.7,199.7,160.2,115.7,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"-0.2","-0.5"
"40878",1041.9,759.4,336.1,199.4,159.9,115.5,108.9,1900-04-12 09:36:00,1900-04-08 07:12:00,NA,NA,"-0.2","-0.7"
"40909",1037.4,756.2,334.7,198.5,159.2,115,108.4,1900-04-12,1900-04-07 21:36:00,NA,NA,"-0.4","-0.8"
"40940",1040.3,758.3,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.3","-0.9"
"40969",1046.1,762.6,337.5,200.2,160.6,116,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,NA,NA,"0.6","-1"
"41000",1046.9,763.1,337.8,200.4,160.7,116.1,109.4,1900-04-12 21:36:00,1900-04-08 19:12:00,NA,NA,"0.1","-1"
"41030",1046.7,763,337.7,200.3,160.7,116,109.4,1900-04-12 21:36:00,1900-04-08 19:12:00,NA,NA,"0","-1"
"41061",1043.8,760.9,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,1900-04-08 12:00:00,NA,NA,"-0.3","-1.1000000000000001"
"41091",1038.8,757.2,335.1,198.8,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"-0.5","-0.7"
"41122",1038.4,757,335,198.7,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"0","-0.5"
"41153",1041.7,759.3,336.1,199.4,159.9,115.5,108.8,1900-04-12 09:36:00,1900-04-08 07:12:00,NA,NA,"0.3","-0.4"
"41183",1043,760.3,336.5,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"0.1","-0.2"
"41214",1039.6,757.8,335.4,198.9,159.6,115.2,108.6,1900-04-12 04:48:00,1900-04-08 02:24:00,NA,NA,"-0.3","-0.4"
"41244",1037.3,756.1,334.7,198.5,159.2,115,108.4,1900-04-12,1900-04-07 21:36:00,NA,NA,"-0.2","-0.4"
"41275",1034.6,754.2,333.8,198,158.8,114.7,108.1,1900-04-11 16:48:00,1900-04-07 14:24:00,NA,NA,"-0.3","-0.3"
"41306",1037.7,756.4,334.8,198.6,159.3,115,108.4,1900-04-12,1900-04-07 21:36:00,NA,NA,"0.3","-0.3"
"41334",1039.9,758,335.5,199,159.6,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.2","-0.6"
"41365",1040.3,758.3,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0","-0.6"
"41395",1041.4,759.1,336,199.3,159.9,115.4,108.8,1900-04-12 09:36:00,1900-04-08 04:48:00,NA,NA,"0.1","-0.5"
"41426",1042.5,759.9,336.3,199.5,160,115.6,108.9,1900-04-12 12:00:00,1900-04-08 07:12:00,NA,NA,"0.1","-0.1"
"41456",1038.7,757.2,335.1,198.8,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"-0.4","0"
"41487",1038,756.6,334.9,198.6,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,NA,NA,"-0.1","0"
"41518",1041.1,758.9,335.9,199.2,159.8,115.4,108.8,1900-04-12 09:36:00,1900-04-08 04:48:00,NA,NA,"0.3","-0.1"
"41548",1040.3,758.3,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"-0.1","-0.3"
"41579",1040.4,758.4,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0","0.1"
"41609",1038,756.7,334.9,198.7,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,NA,NA,"-0.2","0.1"
"41640",1035.2,754.6,334,198.1,158.9,114.8,108.2,1900-04-11 19:12:00,1900-04-07 14:24:00,NA,NA,"-0.3","0.1"
"41671",1036.2,755.3,334.3,198.3,159.1,114.9,108.3,1900-04-11 21:36:00,1900-04-07 16:48:00,NA,NA,"0.1","-0.1"
"41699",1040,758.1,335.5,199,159.6,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.4","0"
"41730",1040.7,758.6,335.8,199.2,159.7,115.4,108.7,1900-04-12 07:12:00,1900-04-08 04:48:00,NA,NA,"0.1","0"
"41760",1043.7,760.8,336.7,199.7,160.2,115.7,109.1,1900-04-12 14:24:00,1900-04-08 12:00:00,NA,NA,"0.3","0.2"
"41791",1043,760.3,336.5,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"-0.1","0"
"41821",1039.1,757.4,335.2,198.9,159.5,115.2,108.6,1900-04-12 04:48:00,1900-04-08,NA,NA,"-0.4","0"
